77.105.182.90|443|400|685|http/1.1|1.0|0
77.105.182.113|443|401|1144|http/1.1|1.0|0
77.105.182.116|443|302|1154|http/1.1|1.0|0
77.105.183.35|443|200|992|http/1.1|1.0|0
77.105.183.42|443|400|907|http/1.1|1.0|0
77.105.183.41|443|200|694|http/1.1|1.0|0
77.105.183.82|443|302|344|http/1.1|1.0|0
77.105.183.83|443|404|1063|http/1.1|1.0|0
77.105.183.84|443|302|1073|http/1.1|1.0|0
77.105.183.86|443|301|764|http/1.1|1.0|0
77.105.184.6|443|302|1028|h2|1.0|0
77.105.184.36|443|403|676|http/1.1|1.0|0
77.105.184.26|443|404|596|http/1.1|1.0|0
77.105.184.125|8080|400|351|http|1.0|0
77.105.184.145|443|302|844|http/1.1|1.0|0
77.105.184.146|443|404|316|http/1.1|1.0|0
77.105.184.159|443|404|523|http/1.1|1.0|0
77.105.183.146|443|200|469|http/1.1|1.0|0
77.105.183.200|443|401|901|http/1.1|1.0|0
77.105.184.75|443|301|945|h2|1.0|0
77.105.184.48|443|200|810|http/1.1|1.0|0
77.105.184.109|443|404|505|http/1.1|1.0|0
77.105.184.113|443|403|768|http/1.1|1.0|0
77.105.183.195|443|301|1495|http/1.1|1.0|0
77.105.184.37|443|200|334|http/1.1|1.0|0
77.105.184.62|443|200|855|http/1.1|1.0|0
77.105.184.83|8443|404|369|http/1.1|1.0|0
77.105.184.152|443|302|731|http/1.1|1.0|0
77.105.184.153|443|404|865|http/1.1|1.0|0
77.105.185.6|443|404|514|http/1.1|1.0|0
77.105.185.49|443|404|298|http/1.1|1.0|0
77.105.185.60|443|404|1117|http/1.1|1.0|0
77.105.185.57|443|301|568|http/1.1|1.0|0
77.105.185.117|443|200|883|http/1.1|1.0|0
77.105.185.122|443|302|434|http/1.1|1.0|0
77.105.185.47|443|200|396|h2|1.0|0
77.105.185.222|443|200|416|http/1.1|1.0|0
77.105.186.5|443|200|1108|http/1.1|0.5|0
77.105.184.215|443|404|1446|http/1.1|1.0|0
77.105.184.232|443|302|1318|http/1.1|0.5|0
77.105.184.250|443|200|1400|http/1.1|1.0|0
77.105.186.22|8443|200|1008|http/1.1|1.0|0
77.105.186.29|443|404|1045|http/1.1|1.0|0
77.105.186.20|443|502|1021|h2|1.0|0
77.105.186.21|443|200|1202|http/1.1|0.5|0
77.105.186.94|443|200|1000|http/1.1|1.0|0
77.105.186.98|443|404|734|http/1.1|1.0|0
77.105.186.97|443|404|982|http/1.1|1.0|0
77.105.188.65|443|200|851|http/1.1|1.0|0
77.105.188.70|443|200|929|http/1.1|1.0|0
77.105.188.68|443|200|756|http/1.1|1.0|0
77.105.188.67|443|200|911|http/1.1|1.0|0
77.105.188.71|443|200|991|http/1.1|1.0|0
77.105.188.69|443|200|896|http/1.1|1.0|0
77.105.188.72|443|200|623|http/1.1|1.0|0
